"Id","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Download","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library","Call Number","Extra","Notes","Cover","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"BFD49NPL","book","2013","Llosa Sanz, Álvaro","Más allá del papel. El hilo digital de la ficción impresa","","","","","http://www.academiaeditorial.com/web/wp-content/uploads/2013/11/Llosa-Hilo-digital.pdf","Ante el despunte de los medios digitales en una cultura transformada por el hipermedia, por la inmersión en los espacios virtuales y por los nuevos hábitos sociales de lectura, el universo de la ficción que se nos ha transmitido de forma impresa comienza a replantearse su contexto pasado para hallar un espacio en el futuro. Este libro busca respuestas a una cuestión clave cuando hablamos de digitalización de obras de ficción previamente impresas: ¿es posible trasladar y de qué manera la memoria cultural del libro impreso a una memoria virtual caracterizada por el hipertexto, la inmersión audiovisual y la participación escrilectora? Si rescatamos las diversas formas de producción y recepción que rodearon la difusión de ficciones en torno a la era de la imprenta, descubriremos los hilos digitales de la ficción impresa.","2013","2025-11-07 11:30:28","2025-11-07 11:30:28","","","","","","","","","","","","","Editorial Academia del Hispanismo","Vigo","","","","","","","","","","","","","#nosource","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7V57QP8A","book","2017","","Los hijos de los dioses: El ""Grupo Filosófico Hiperión"" y la filosofía de lo mexicano","","","","","https://www.scribd.com/book/336319450/Los-hijos-de-los-dioses-El-Grupo-Filosofico-Hiperion-y-la-filosofia-de-lo-mexicano","Descubrir qué es lo mexicano, cuáles son los rasgos que mejor describen el ser nacional, las particularidades de su cultura y su devenir histórico, ha sido una vieja obsesión que ha ocupado a numerosos intelectuales, científicos sociales, artistas y hombres de letras de México desde, por lo menos, finales del siglo XIX. Hacia mediados del siglo pasado, un grupo de jóvenes universitarios –filósofos en su mayoría–, se propusieron actualizar las búsquedas sobre la identidad nacional haciendo uso de un inusitado arsenal teórico. El presente libro explora las representaciones identitarias formuladas por estos intelectuales, quienes dieron en llamarse Grupo filosófico Hiperión. Las propuestas y tesis que englobaron bajo el nombre de ""filosofía de lo mexicano"" o ""filosofía de la mexicanidad"" son examinadas aquí bajo la lupa de las distintas tramas que dieron sustento, significado y proyección a sus planteamientos sobre lo mexicano.","2017-11","2025-11-07 11:30:28","2025-11-07 11:30:28","2017-11-23","","","","","","","Los hijos de los dioses","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LS37P2MU","book","2003","Vega, María José","Literatura hipertextual y teoría literaria","","","","","http://cv.uoc.edu/~04_999_01_u07/vega1.html","","2003","2025-11-07 11:30:28","2025-11-07 11:30:28","","","","","","","","","","","","","Marenostrum comunicación","Madrid","Spanish","","","","","","","","","","","","#nosource; Hipertexto; Teoría","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5SIQEJ2P","book","1998","Moreno Hernández, Carlos","Literatura e hipertexto: de la cultura manuscrita a la cultura electrónica","","978-84-362-3683-5","","","","","1998","2025-11-07 11:30:28","2025-11-07 11:30:28","","","","","","","","Literatura e hipertexto","","","","","Universidad Nacional de Educación a Distancia","Madrid","Spanish","","","","","","","","","","","","#nosource","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S6TNKUXW","book","2000","Vouillamoz, Núria","Literatura e hipermedia: la irrupción de la literatura interactiva","","","","","","","2000","2025-11-07 11:30:28","2025-11-07 11:30:28","","","","","","","","","","","","","Paidós","Barcelona","Spanish","","","","","","","","","","","","#nosource","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"799IMK5D","book","2004","Pajares Tosca, Susana","Literatura digital: el paradigma hipertextual","","","","","","","2004","2025-11-07 11:30:28","2025-11-07 11:30:28","","","","","","","","","","","","","Universidad de Extremadura","Cáceres","","","","","","","","","","","","","#nosource; Hipertexto; Teoría","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UNR7YXID","book","2015","Moretti, Franco","Lectura distante","","978-987-719-090-8","","","","","2015","2025-11-07 11:30:28","2025-11-07 11:30:28","","","","","","","","","","","","","Fondo de Cultura Económica","Buenos Aires","","","","","","","","","","","","","#nosource","","","Mosconi, Lilia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C7GPXCRA","book","2008","Pardo Salgado, Carmen","Las TIC: una reflexión filosófica","","","","","","La razón técnica se encarna hoy en las Tecnologías de la Información y la Comunicación y en sus efectos en la transformación de la producción y transmisión del saber. Con ella se insta a sustituir -en las sociedades postindustriales-, a la antigua mano de obra por un nuevo capital humano fundado en el conocimiento. En el ca mino hacia esta sociedad cohabitan los antiguos discursos ilustrados junto a la exigencia de una formación permanente que hace del conocimiento un valor de cambio. En esta situación y alejándonos tanto de un discurso que demoniza la técnica como de los discursos complacientes que hacen de ella la panacea para todos los males, interrogamos de nuevo nuestra relación con la técnica y sus nexos con el sistema económico, político y social en el que se encuentra.","2008","2025-11-07 11:30:28","2025-11-07 11:30:28","","","","","","","","","","","","","Laertes","Barcelona","","","","","","","","Citation Id: PardoSalgado2008TIC","","","","","#nosource","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2NF65NJ5","book","2001","Reynal, Vicente","Las humanidades en la era digital","","","","","http://books.google.co.uk/books?id=BJOQBxQOi2oC&lpg=PR7&ots=gtGfb0m8xJ&dq=humanidades%20digitales&lr&pg=PP1#v=onepage&q&f=false","","2001","2025-11-07 11:30:28","2025-11-07 11:30:28","","","","","","","","","","","","","Universidad de Puerto Rico","San Juan","","","","","","","","","","","","","#nosource","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZIC4JPNT","book","2015","del Río Riande, Gimena; Cantamutto, Lucía; Striker, Gabriela","Las Humanidades Digitales desde Argentina: Tecnologías, culturas, saberes","","978-987-3617-89-8","","","https://libros.unlp.edu.ar/index.php/unlp/catalog/book/542","","2015","2025-11-07 11:30:28","2025-11-07 11:30:28","2019-10-14","","","","","","","","","","","","Editorial de la Facultad de Filosofía y Letras Universidad de Buenos Aires,","Buenos Aires","Español","","","","","","","","","","","","#nosource","","","","","","","","","","","","","","","","","","","","1a. edición","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BNWFKLJW","book","2006","Orihuela, José Luis","La Revolución de los blogs: cuando las bitácoras se convirtieron en el medio de comunicación de la gente","","","","","","","2006","2025-11-07 11:30:28","2025-11-07 11:30:28","","","","","","","","","","","","","La Esfera de los Libros","Madrid","","","","","","","","","","","","","#nosource","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G39V74IT","book","2015","Pérez López, Mª Ángeles; Sánchez Aparicio, Vega","Letras y bytes. Escrituras y nuevas tecnologías","","","","","http://www.reichenberger.de/Pages/plit77.html","","2015","2025-11-07 11:30:28","2025-11-07 11:30:28","","","","","","","","","","","","","Edition Reichenberger","Kassel","","","","","","","","Citation Id: PerezLopez.SanchezAparicio2015Letras","","","","","#nosource","Noguerol, Francisca","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GAP9H3F4","book","2011","","La propiedad intelectual en la era digital: límites e infracciones a los derechos de autor en internet","","","","","","","2011","2025-11-07 11:30:28","2025-11-07 11:30:28","","","","","","","","","","","","","La Ley. Grupo Wolters Kluwer","","","","","","","","","","","","","","#nosource","Mata Marín, Ricardo Manuel; Javato Martín, Antonio María","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ARSY4BZM","book","2001","Castells, Manuel","La Galaxia Internet","","","","","","","2001","2025-11-07 11:30:28","2025-11-07 11:30:28","","","","","","","","","","","","","Plaza & Janés","Barcelona","Spanish","","","","","","","","","","","","#nosource","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TQQ8AVUZ","book","2006","Cerezo, José M.","La blogosfera hispana: pioneros de la cultura digital","","","","","http://www.fundacionorange.es/areas/25_publicaciones/la_blogosfera_hispana.pdf","","2006","2025-11-07 11:30:28","2025-11-07 11:30:28","","","","","","","","","","","","","Fundación France Telecom España","","Spanish","","","","","","","","","","","","#nosource","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VC6LC366","book","2021","Rodríguez Pérez, Martha Eugenia; Echavarría Rodríguez, Ruy","La medicina en la historia","","978-607-8546-38-1","","","","","2021","2025-11-07 11:30:28","2025-11-07 11:30:28","","","","","","","","","","","","","Panamericana","México","Español","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GA7F8W5G","book","2001","Millán, José Antonio","Internet y el español","","978-84-931542-7-1","","","","","2001","2025-11-07 11:30:28","2025-11-07 11:30:28","","","","","","","","","Biblioteca Fundación Retevisión","","","","Fundación Retevisión","Madrid","Spanish","","","","","","","","","","","","#nosource","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BZV88W58","book","1997","Irizarry, Estelle","Informática y literatura: análisis de textos hispánicos","","978-84-922335-6-4","","","","","1997","2025-11-07 11:30:28","2025-11-07 11:30:28","","","","","","","","Informática y literatura","","","","","Anthropos Editorial","","es","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BSQERPRQ","book","2013","","Imágenes de la tecnología y la globalización en las literaturas hispánicas","","","","","http://www.ibero-americana.net/cgi-bin/infodetail.cgi?doknr=521750&lang=es&txt=einleitung","Imágenes de la tecnología y la globalización en las literaturas hispánicas / Jesús Montoya Juárez, Ángel Esteban del Campo (eds.) recoge una serie de estudios donde se reflexiona sobre las conexiones de la literatura con las nuevas tecnología y los medios de comunicación. Compuesta por ensayos de especialistas como Jorge Carrión, Francisca Noguerol, Daniel Mesa Gancedo o Doménico Chiappe, entre otros, se abordan algunas pautas sobre la última narrativa en español, los textos en la nueva identidad digital y el hibridismo tecnológico en la literatura hispánica actual.","2013","2025-11-07 11:30:28","2025-11-07 11:30:28","","","","","","","","","","","","","Iberoamericana - Vervuert","Madrid - Frankfurt","","","","","","","","","","","","","#nosource","Montoya Juárez, Jesús; Esteban del Campo, Ángel","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RV42BYIB","book","2004","José Luis, Molinuevo","Humanismo y nuevas tecnologías","","978-84-206-4596-4","","","","","2004","2025-11-07 11:30:28","2025-11-07 11:30:28","","","","","","","","","","","","","Alianza","Madrid","Español","","","","","","","","","","","","#nosource","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACSMZ9KZ","book","2014","","Humanidades Digitales: una aproximación transdisciplinar","","","","","http://www.janusdigital.es/fa/4656756780959093003595388/anexo2janus_completo_pub.pdf","","2014","2025-11-07 11:30:28","2025-11-07 11:30:28","","","","","","","","","","","","","SIELAE","A Coruña","","","","","","","","","","","","","#nosource","Baraibar, Álvaro","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R4GULQZE","book","2018","","Humanidades digitales: recepción, institucionalización y crítica","","978-607-8560-59-2 978-607-8560-60-8 978-607-8560-58-5","","","","","2018","2025-11-07 11:30:28","2025-11-07 11:30:28","","","","","","","","","","","","","Bonilla Artigas","Ciudad de México","Spanish","","","","","","","","","","","","#nosource","Galina Russell, Isabel; Barrón Tovar, José Francisco; Digitales, Encuentro de Humanistas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4XEZ9JR7","book","2018","Vinck, Dominique","Humanidades digitales: la cultura frente a las nuevas tecnologías","","978-84-17341-10-7","","","","","2018","2025-11-07 11:30:28","2025-11-07 11:30:28","","","","","","","","Humanidades digitales","","","","","Gedisa","México","Spanish","","","","","","","","","","","","#nosource","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8CU2WEP8","book","2014","","Humanidades Digitales: desafíos, logros y perspectivas de futuro","","","","","http://www.janusdigital.es/anexo.htm?id=5","","2014-04","2025-11-07 11:30:28","2025-11-07 11:30:28","2014-05-11","","","","","","","","","","","","SIELAE","A Coruña","","","","","","","","","","","","","#nosource","López Poza, Sagrario; Pena Sueiro, Nieves","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GFB5TB8V","book","2018","","Humanidades Digitales: Construcciones locales en contextos globales. Actas del I Congreso Internacional de la Asociación Argentina de Humanidades Digitales - AAHD","","978-987-4019-97-4","","","","","2018","2025-11-07 11:30:28","2025-11-07 11:30:28","","","","","1","","","","","","","","Universidad de Buenos Aires. Editorial de la Facultad de Filosofía y Letras","Buenos Aires","Español","","","","","","","","","","","","#nosource","Río Riande, G. del; Calarco, G.; Striker, G.; León, R. de","","","","","","","","","","","","","","","","","","","1ª","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Y5XUZ2YI","book","2018","González, Déborah; Bermúdez, Sabel Helena","Humanidades Digitales, Miradas hacia la Edad Media","","978-3-11-058541-4","","","https://www.degruyter.com/viewbooktoc/product/499554?fbclid=IwAR3gtJIDBrwynIDBb5XvkZ3Jyux-JESs2D_2SHqLHBHzEOkjy1M0vK_R0RA","","2018","2025-11-07 11:28:05","2025-11-07 11:28:05","2020-01-13","","","","","","","","","","","","De Gruyter","Berlin, Boston","SPAN","","","","","","","DOI: 10.1515/9783110585421","","","","","#nosource","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VJBRTT5F","book","2018","","Humanidades Digitales Retos Recursos y Nuevas Propuestas","","","","","","","2018","2025-11-07 11:27:59","2025-11-07 11:27:59","","","","","","","","","","","","","Agilice Digital","Valladolid","","","","","","","","","","","","","Humanidades digitales; Volumen editado","Álvarez Ramos, Eva; Blasco Pascual, Javier","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KIZ93UNU","book","2019","Fry, Hannah","Hola mundo: cómo seguir siendo humanos en la era de los algoritmos","","978-84-17552-41-1","","","","","2019","2025-11-07 11:27:54","2025-11-07 11:27:54","","","","","","","","Hola mundo","","","","","","","Traducció de: Hello world : being human in the age of algorithms","","","","","","","","","","","","#nosource","","","Ramos, Francisco","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QVW82LD5","book","2008","Scolari, Carlos","Hipermediaciones. Elementos para una Teoría de la Comunicación Digital Interactiva","","","","","","","2008","2025-11-07 11:27:47","2025-11-07 11:27:47","","","","","","","","","","","","","Gedisa","Barcelona","","","","","","","","","","","","","#nosource","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6R5XWF48","book","2004","Scolari, Carlos","Hacer clic. Hacia una sociosemiótica de las interacciones digitales","","","","","","","2004","2025-11-07 11:27:41","2025-11-07 11:27:41","","","","","","","","","","","","","Gedisa","Barcelona","","","","","","","","","","","","","#nosource","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T8RRRIJK","book","2022","","Global debates in the digital humanities","","978-1-4529-6710-3","","","","""This collection addresses the lack of perspectives beyond Westernized and Anglophone contexts in the digital humanities. Focused on work that has been underappreciated for linguistic, cultural, or geopolitical reasons, contributors showcase alternative histories that detail the rise of the digital humanities in the Global South and other ""invisible"" contexts and explore the implications of a truly global digital humanities""--","2022","2025-11-07 11:27:37","2025-11-07 11:27:37","","","1","","","","","","Debates in the digital humanities","","","","University of Minnesota Press","Minneapolis","","","","","","Library of Congress ISBN","AZ105","Citation Id: Fiormonte.etal2022Global","","","","","Social aspects; Developing countries; Digital humanities; Research; Humanities; #nosource; Learning and scholarship","Fiormonte, Domenico; Chaudhuri, Sukanta; Ricaurte, Paola","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4DL68VA4","book","2012","Bunge, Mario","Filosofía para médicos","","978-84-9784-739-1","","","","","2012","2025-11-07 11:27:31","2025-11-07 11:27:31","","","","","","","","","","","","","Gedisa","Barcelona","Español","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VRNFBUKX","book","2013","Fernández Travieso, Carlota","Estudio de codificación XML/TEI para Relaciones de Sucesos españolas","","978-84-695-9041-6","","","http://www.bidiso.es/sielae/upload/estaticas/file/FTCXMLTEI1.pdf","","2013","2025-11-07 11:27:25","2025-11-07 11:27:25","","","","","","","","","","","","","SIELAE (Seminario Interdisciplinar para el Estudio de la Literatura Áurea Española)","A Coruña","Spanish","","","","","","","","","","","","#nosource; TEI; XML; Historia del periodismo; Relaciones de sucesos; SIELAE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"L3VY9X9S","book","2013","","Escritorios electrónicos para las literaturas: nuevas herramientas digitales para la anotación colaborativa","","","","","http://eprints.ucm.es/23805/1/LuisPabloNu%C3%B1ez_EscritoriosElectrLiteraturas.pdf","El volumen recoge un conjunto de estudios relativos a la interacción entre las Humanidades y las nuevas tecnologías. Llevados a cabo por profesores e investigadores de las universidades Complutense, UNED, Universidad Federal de Santa Catarina (Brasil) y Grupo Ciberimaginario-ICONO14, tratan aspectos tales como la creación de repositorios de objetos de aprendizaje, la construcción de museos virtuales, la recuperación de la información mediante agrupación en retículos y la anotación colaborativa sobre documentos digitales, especialmente literarios. Se añade una breve historia de las anotaciones, desde la Edad Media hasta nuestros días (smartphones y tabletas). El libro va dirigido a informáticos interesados en la creación de herramientas para las humanidades digitales y a filólogos que quieran introducir las TICs en la enseñanza de la literatura en el aula. Debido al Programa de Colaboración Interuniversitaria Hispano-Brasileño con cuya ayuda se ha publicado este libro, algunos de los textos que se recogen en esta obra están escritos en español y otros en portugués.","2013","2025-11-07 11:27:14","2025-11-07 11:27:14","","","","","","","","","","","","","Universidad Complutense de Madrid","Madrid","","","","","","","","","","","","","#nosource","Pablo Núñez, Luis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4VX7267M","book","2018","Salamanca López, Manuel Joaquín","Entornos Digitales: Humanidades y Ciencias Sociales en la Universidad Complutense de Madrid.","","978-607-98364-0-5","","","","","2018","2025-11-07 11:26:38","2025-11-07 11:26:38","","","","","","","","","","","","","Red de Humanidades Digitales","Ciudad de México","Español","","","","","","","","","","","","#nosource","Romero López, María Dolores","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TH9KH6IQ","book","2012","Lucía Megías, José Manuel","Elogio del texto digital. Claves para interpretar el nuevo paradigma","","","","","","","2012","2025-11-07 11:26:00","2025-11-07 11:26:00","","","","","","","","","","","","","Fórcola","","Español","","","","","","","","","","","","#nosource","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BDS4ZS9Y","book","2013","Pons, Anaclet","El desorden digital. Guía para historiadores y humanistas","","","","","","No es sólo la historia o las humanidades, es el mundo el que está cambiando, en ocasiones de forma estimulante; en otras, de una manera que nos sobresalta. Muy pocos son los que pueden presumir de comprender esa mutación. En medio de la transformación digital, zarandeados por el remolino del cambio, la sensación de confusión y desconcierto es inevitable. Este volumen se ofrece como ayuda, como guía para comprender algunos de los fenómenos que acompañan «el desorden digital» en el que estamos inmersos: los cambios en los soportes, en la lectura, en la escritura, en el documento y el archivo mismos, en la condición y la función de autor, en los modos de colaboración y en la difusión del conocimiento. El autor nos muestra una mutación que afecta a procesos con los que captamos el mundo, que utilizamos para conocerlo, muchos de los cuales pasan inadvertidos precisamente por su obviedad, por su familiaridad, cuando lo que hacen es modificar nuestro trabajo de una manera profunda. De ahí la necesidad de sobreponerse a la confusión, al extravío, y la exigencia de pensar lo que supone ese entorno digital, de aquilatar lo que sucede a nuestro alrededor.","2013","2025-11-07 11:25:36","2025-11-07 11:25:36","","","","","","","","","","","","","Siglo XXI Editores","Madrid","","","","","","","","","","","","","#nosource","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4ZQHUYWX","book","1996","Marcos Marín, Francisco","El comentario filológico con apoyo informático","","","","","","","1996","2025-11-07 11:25:36","2025-11-07 11:25:36","","","","","","","","","","","","","Síntesis","Madrid","","","","","","","","00014 Citation Id: MarcosMarin1996comentario","","","","","#nosource","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UAA9NTIS","book","2021","Martínez Hernández, Carlos Alberto","El Estante DIgital","","978-607-39-1113-9","","","https://ri-ng.uaq.mx/xmlui/bitstream/handle/123456789/3646/El%20estante%20digital%20-%20Carlos%20Alberto%20Mart%c3%adnez%20Hern%c3%a1ndez.pdf?sequence=3&isAllowed=y","","2021","2025-11-07 11:25:36","2025-11-07 11:25:36","","","149","","","","","","","","","","Universidad Autónoma de Querétaro","México","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
